10年間	0000802100-005
見セカケ	0000551100-004
カケ離レタ	0001195205-1281
追ッカケノ女ノ子	0000410110-2561
足ヲ引ッカケル	0000406300-004
追ッカケ	0000410100-006
負ケテバカリノ人	0000679203-769
競売ニカケル	0000995100-003
天秤ニカケル	0000174106-1538
秤ニカケル	0000174100-005
鼻ニカケル	0000099100-004	0000868200-006
見カケ上ノ	0000041100-001
呼ビカケル	0000117112-3073
呼ビカケ	0000942100-009
カケラ	0000094100-003	0000456100-005
カケル	0001036111-2817	0001178109-2305	0001204209-2305
面倒ヲカケル	0000604105-1282	0000604109-2306
容疑ヲカケル	0001107100-002
期待ヲカケル	0001172100-008
迷惑ヲカケル	0000604105-1282	0000604109-2306
手数ヲカケル	0000604105-1282	0000604109-2306
電話ヲカケル	0000117203-769	0000117204-1025	0000117206-1537	0000117207-1793	0000117209-2305
鍵ヲカケル	0000159100-005
出カケル	0000653100-003	0001223100-004
見カケル	0000429200-003
ケンカ	0000423100-001
バカゲタ	0000223100-003	0000960100-001
口ゲンカ	0000051100-003
マコトシヤカナ	0000829200-004
スコヤカニ成長スル	0000323104-1026	0000323105-1282
ノコトヲ暗ニホノメカス	0000709108-2049
働カセルコト	0001203106-1537
ホコリヲカブッタ	0000296104-1025
ニコヤカナ	0000464109-2305
ゴチャゴチャニ取リ散ラカッタ	0001198105-1281
ゴチャゴチャニ取リ散ラカッテ	0001198106-1537
ゴマカシノ	0001255100-006
ゴマカス	0000521100-005
釣銭ヲゴマカス	0000260109-2305
ゴマカス人	0000139100-001
マゴツカセル	0001250100-008
総合的ナカテゴリ	0000128105-1281
カテゴリ	0000128100-002
カユサヲ感ジサセル	0000540209-2305
ササヤカナ	0001033104-1026	0001033105-1282
恥ズカシサ	0000502100-002
モドカシサノ種	0000468103-769
モドカシサ	0000468100-004
カサマセル	0000165107-1793
カナリノ多サノ	0000641110-2561
カナリノ広サノ	0000641110-2561
サワヤカナ	0000164110-2562
徐徐ニ明カサレル	0000274106-1537
良サノワカル	0001014108-2049
艶ヤカサ	0001088100-010
不確カサ	0000321100-004
シュッシュット音ヲ立テテ動カス	0001002106-1538
根拠ノシッカリシタ	0000491306-1537
シッカリシタ	0000433100-002	0000491300-003	0001148100-001
取リ散ラカシタ	0001198103-769	0001198104-1025
シッカリ締マル	0001149100-001
シッカリ締メル	0001149100-001
シッカリ握ル	0000525108-2049
シナヤカナ	0000437200-002	0001040100-002
若カリシ頃ニ	0000661200-008
ホノメカシ	0000909100-004
顔ヲシカメル	0001149107-1794
愛想尽カシ	0000511108-2050
カジル	0000095100-002
ナダメスカス	0000808100-005
ストーカー行為ヲスル	0000445100-006
ヒソカニ準備スル	0000773110-2562
ヒソカニ計画スル	0000819103-769	0000819105-1281
完全ニ打チ負カス	0000257107-1793	0000257109-2305
打チ動カス	0000524104-1025
打チ負カス	0000257100-002
スッカリ乱雑デ	0001198106-1538
カットスル	0000262100-004
スッカリ健康ナ	0001233107-1793
スッカリ元気ナ	0001233107-1793
スッカリ	0001217100-012
満面ノ笑ミヲ浮カベテヲ表ス	0001035106-1537
ヨリ確カナモノニスル	0000048104-1025
カリスマ的ナ	0000742200-003
徐徐ニ明ラカニスル	0000274106-1537
バカニスル	0000645100-003
明ラカニスル	0000396106-1537	0000429100-005	0000580100-003	0000955100-001
豊カニスル	0000559107-1793
ホノメカス	0000703200-003	0000709100-005	0001093100-004
バカンス	0000528200-004
カリスマ性	0000137100-003
スミカ	0001006100-003
カミ殺ス	0001101205-1281
カスメル	0001157100-007
甘ヤカス	0001154100-009
心カラ同情スル	0001048107-1793
振リ動カス	0001002203-771
カスル	0001157100-006
心ヲ動カス	0000557100-004
命ヲ脅カス	0001000114-3585
動カス	0000577104-1025	0000763100-002	0000876103-769
急カス	0000539100-006
明カス	0000203100-006
脅カス	0001145100-001
驚カス	0001103100-001
ドッチツカズノ	0001197100-008	0001210100-008
手ツカズノ	0000800106-1538
ワズカナ	0000560100-003
ワズカナ知識	0000542207-1793
ホンノワズカノ	0001029107-1793	0001029108-2049	0001029109-2306
ワズカノ	0001029100-005	0001033100-004
バタツカセル	0001002108-2049
羽バタカセル	0001002107-1793
気ヅカセル	0001127108-2049
振リ向カセル	0001175100-004
向カワセル	0001093106-1537
不快感ヲ抱カセル	0001010111-2817
偏見ヲ抱カセル	0000577100-003
好奇心ヲ抱カセル	0000600100-002
嫌悪感ヲ抱カセル	0001010111-2817
渦ヲ巻カセル	0001054110-2562
働カセル	0001204100-005
働カセル能力	0001203103-772
寝カセル	0000876100-004
長引カセル	0000526100-008	0000690100-004
抱カセル	0001076106-1537
歩カセル	0001115208-2050
行カセル	0000489104-1025
驚カセル	0001103109-2305
公平デ理ニカナッタ	0000899107-1793
倫理ニカナッタ	0000491504-1025
規則ニカナッタ行為	0000629106-1537
道徳ニカナッタ	0000491504-1025
理ニカナッタ	0000089100-006	0000751100-004	0000894100-002	0000899100-002
終ワッタバカリノ	0000642200-007
買ッタバカリノ	0000740200-001
取リ散ラカッタ	0001198100-003
強迫観念ニトリツカレタ	0000011100-003
郷愁ニカラレタ	0000674100-007
棒状ノカタマリ	0000810109-2305
カビタ	0000967100-005
干カラビタ	0000967100-003
カタマリ	0000499100-005
一カタマリ	0000810100-005
分カレタ	0000788100-008
ハニカンダ	0001016100-004
カレンダ	0000984100-006
ドチラトモ決メカネル	0001210110-2561
ヒッツカム	0001115300-004
カットナル	0000680100-002
根ッカラノ	0000731100-007
カップ	0000072110-2561
鮮ヤカデ目立ツ	0000107103-771
ツカノ間ノ	0001011100-003
ブツカル	0000078200-002	0000424100-005	0000524100-001	0001002200-007
ツカマル	0000525104-1025
ツカム	0000525100-005	0000652111-2817	0001115300-002
ツカル	0001036104-1027
華ヤカデ豪華ナ宝飾品	0000255107-1793
華ヤカデ豪華ナ衣服	0000255107-1793
ポカント見トレル	0001064108-2049
骨ト皮バカリノ	0001141107-1793
ノドカナ	0000881100-007
ドレカニ決メル	0000147106-1537
明ラカニナル	0000203111-2817	0001176100-003
非常ニ静カナ	0000881208-2049
ホノカナ	0000782100-007
カナリノ	0000641100-009
バカナ	0000223105-1281	0000223106-1537	0000223108-2049	0000223111-2817	0001087100-001
大マカナ	0001210105-1284
冷ヤヤカナ	0000164204-1025	0000164209-2305
ユルヤカナ	0001031100-005
ヤワラカナ	0000782105-1281
晴レヤカナ	0000142100-005
和ヤカナ	0000464200-002	0000578100-004	0001038100-004
穏ヤカナ	0000118100-003	0000464100-007	0000481100-001	0000881100-008	0000881200-003	0000998105-1283	0001096107-1793	0001096109-2305
華ヤカナ	0000412100-004
速ヤカナ	0000880100-005
鮮ヤカナ	0000107100-003
異ナル人カラ成ル	0000316108-2049
異ナル物カラ成ル	0000316108-2049
安ラカナ	0000246107-1793
明ラカナ	0000157100-001	0001221100-006
滑ラカナ	0000435100-003
カナリ	0000882100-001	0001217100-005
不確カナ	0001182100-005	0001195100-004	0001210106-1537
愚カナ	0000223100-004	0000902106-1538
確カナ	0000130100-002	0000924200-002	0001188100-003
経験豊カナ	0000393104-1025
豊カナ	0000256208-2049	0000857100-008
静カナ	0000881100-001	0000881200-001
ハニカミ屋ノ	0001016103-769	0001016106-1537
ニ取リ掛カル	0000086109-2305
直観的ニワカル	0000731105-1283
ヌカルミ	0001041100-004
心ノ底カラノ	0000256108-2049
満面ノ笑ミヲ浮カベル	0001035100-004
嫉妬カラノ言動	0000621103-769
外国カラノ	0000451100-005
心カラノ	0000256100-001	0000464104-1026	0000530100-007
芸術ノワカル	0000224104-1026
ハバカル	0000520100-009
バカ	0000447100-001
カーブ	0000209104-1025	0000209105-1282
急カーブ	0000209100-003
レプリカ	0000207205-1281
マカリ通ル	0001188104-1026
確カメル	0000357103-769	0000357104-1025
メーカ	0000692100-003
カモル	0000140100-008
幼児カラ成ル	0001256103-772
若者カラ成ル	0001256103-772
取リ掛カル	0000086100-005
分カレル	0000317100-001
惹カレル	0000662100-007
ワカル	0000429100-002	0000652100-012	0000746100-009	0001176100-001	0001185100-001
儲カル	0001091200-004
助カル	0001106106-1537
愚カ者	0000447100-004
ガタガタト揺レナガラ進ム	0001002213-3329
ガタガタト音ヲ立テテ動ク	0001002204-1027	0001002206-1538
ガタガタスル	0001002207-1793
ガタガタト鳴ル	0001002200-003
ガチャガチャト鳴ル	0001002206-1537
ガツガツ食ベル	0000333109-2305	0000333111-2817	0000333113-3330
ガラガラト鳴ル	0001002204-1025	0001002206-1537
動キガ取レナクナル	0000526107-1793
見ツケルコトガデキル	0000070103-769
入手スルコトガデキル	0000070100-001
引キコモリガチナ	0001043100-002
ハシガキ	0000608100-003
引キハガス	0000269104-1025
起キ上ガル	0001062100-003
問題ガ起キル	0000402204-1026
ガレキ	0000928100-006
悪ガキ	0000143100-011
ガク然トシタ	0001201107-1793
シガミツク	0000525100-004
背ガ低クテ太ッタ	0001011208-2049
ガラクタ	0001142200-014
関係ガナクテ	0000616106-1537
関連ガナクテ	0000616106-1537
体調ガ悪クナル	0001251104-1025
曲ガリクネル	0000237100-003
気ガ向ク	0001227100-008
ケガ	0000583100-002
ドシンドシントブツケナガラ進ム	0001002213-3330
ケガヲ負ワセル	0000582100-003
砕ケタレンガ	0000928107-1793
ケガ人	0000794104-1025
厚サガノ	0001237200-004
ヒザノ上デピョンピョント飛ビ上ガラセル	0000628107-1794
悲シミニ打チヒシガレタ	0001192109-2305
打チヒシガレタ	0001201107-1794
故郷ヲ恋シガッタ	0000674107-1793
ガラントシタ	0000812106-1539	0000812107-1794
シタガル	0001227103-769
角ヲナシテ曲ガル	0000237107-1794
苦労シナガラ読ミ進ム	0000895110-2561
ホシガル	0001227100-002
ガス	0000760100-002
不本意ナガラ同意スル	0000025109-2305
病気ガブリ返ス	0001251111-2817
病気ガ再発スル	0001251111-2817
揺ルガス	0001010108-2050
気ガスル	0000993107-1794
スローガン	0001030100-001
急ガス	0000539104-1026
転ガス	0001054108-2049
ノボセ上ガッタ	0000584100-006
ノボセ上ガリ	0000683109-2305	0000683110-2561
嫌ガラセル	0001010111-2818
寒ガラセル	0000206104-1025
怖ガラセル	0000466100-001	0001010100-006
服ヲ脱ガセル	0001117104-1025	0001117106-1537
急ガセル	0000003100-004	0000539103-770
脱ガセル	0001117100-002
タソガレ	0000743200-007
ガソリン	0000760100-005
晴レ上ガッタ	0001096100-006
怖ガッタ	0001248100-004
気ガ狂ッタ	0000687100-002
面白ガッタ	0000601100-002
顔ヲユガメタ	0000614106-1537
遠慮ガチナ	0001016107-1793
病気ガチノ	0001017100-005
立チ上ガル	0001062100-002
怖ガッテ	0000022100-002
日ガ照ッテ	0001096103-769
ニツナガル	0000129105-1282
ツナガリ	0000920100-005
ツナガル	0000129100-003
名誉ガ保テル	0000949106-1537
面目ガ保テル	0000949106-1537
嫌疑ガ晴レテ	0000585105-1281
容疑ガ晴レテ	0000585100-005
是ガ非デモ	0001217111-2819
気ノトガメ	0000321208-2049
トガメル	0000097100-005
不本意ナガラノ	0000926100-003
ワガママナ	0000994100-004	0001086100-006
残念ナガラ	0001047100-002
意見ガ異ナル	0000299103-769	0000299104-1025
跳ネ上ガル	0001037100-004
利益ノ上ガル	0001091204-1025	0001091205-1281	0001091206-1537	0001091209-2305	0001091210-2561
幅ガノ	0001237200-002
ガンバリ	0000283100-007
ヒビガ入ル	0000105100-005
存続ガ危ブマレル	0001225106-1537
顔ヲユガメル	0001149107-1794
独リヨガリ	0000850100-008
広ガリ	0000639200-005
曲ガリ	0000209105-1281	0000209108-2049
曲ガリ角	0000209100-002
電話ガ切レル	0001177100-006
上ガル	0000963100-001
下ガル	0000406100-003	0000406200-004
努力ガ要ル	0000508103-769	0000508104-1025	0000508105-1281	0000508106-1537
労力ガ要ル	0000508103-769	0000508104-1025	0000508105-1281	0000508106-1537
嫌ガル	0000520100-004
小雨ガ降ル	0000886108-2049
広ガル	0000388100-003	0001058100-004
曲ガル	0000237100-001
転ガル	0001054100-004
雨ガ降ル	0000886100-001
霧雨ガ降ル	0000886108-2049
キ	0000114100-004
キラキラト輝ク	0001007110-2561
キーキート鳴ク	0000987105-1281	0000987107-1793
キャッキャット奇声ヲ上ゲル	0000987107-1794
生キ生キトシタ	0000670100-006
飽キ飽キスル	0000038100-004
ズキズキ痛ム	0000540211-2817
ハッキリト聞キ取ル	0000515107-1793
トキドキ	0001045100-001
キラキラト光ル	0001007106-1537	0001007107-1793	0001007109-2305	0001007110-2561	0001007111-2817
口キキ料	0000106100-008
大キスギル	0000380106-1537
行キ過ギノ	0001181108-2050	0001181109-2306
キックバック	0000106100-006
デキルダケ少ナクスル	0000907105-1281
キビシク質問スル	0000879108-2049
クッキリトシタ	0000107107-1793
クッキリシタ	0000107100-004
泣キジャクル	0000234100-003
大キクスル	0000388100-006
何モデキナクナッテ	0000022113-3329
キャント鳴ク	0000987110-2561
ヨリ大キクナル	0000323107-1793
大キクナル	0000388100-007	0000963104-1025	0000963105-1281
聴キニ行ク	0000677110-2561
気ノキク	0000998103-769
融通ノキク	0000519107-1793
驚クベキ	0000031100-001	0000467100-003	0000929100-002	0001104100-001	0001244100-007
堅ク引キ締マル	0001149104-1027
キラメク	0000107100-002	0001007100-004
堅ク引キ締メル	0001149104-1025
下書キヲ書ク	0000840105-1281
心ヲ引キ裂ク	0000540107-1793
引キ抜ク	0001072100-005
引キ裂ク	0001126100-001
生キ抜ク	0001106108-2049
ショッキングナ	0000776100-003
トレッキングヲスル	0001226200-004
ランキング	0000152310-2561
引キ継グ	0000199300-006
タタキツケル	0000083100-004
責任ヲ持ッテ引キ受ケル	0000248105-1281
人ノ心ヲ引キツケル	0001109108-2049
ヒキツケ	0001008100-005
引キツケル	0000600106-1537	0000742200-004
当然受ケルベキモノ	0000961111-2817
費用負担ヲ引キ受ケル	0000472109-2305
動キ続ケル	0000199107-1793
引キ受ケル	0000248100-007	0000319100-005	0001115400-005
生キ続ケル	0000927110-2561	0001106103-769
金ヲ巻キ上ゲル人	0000139105-1282
引キ上ゲル	0000567100-004
突キ上ゲル	0001002100-003
引キ上ゲ	0000566109-2305
引キ下ゲ	0000908100-004
遺伝子ニヨッテ引キ起コサレル	0000731104-1025
ヒッキリナシニ起コル	0000462105-1281
引キ起コス	0000129100-001	0000597104-1027
書キ起コス	0001253100-008
変ワルコトノデキル	0001175205-1281
ホコリヲ拭キ取ル	0000109100-005
ヒッキリナシニ繰リ返サレル	0000462108-2049
吐キ気ヲ催サセル	0000311100-006	0001010107-1793	0001010110-2561
長続キサセル	0000690100-006
相当ナ大キサノ	0000641110-2561
サバキ	0001027200-012
突キ刺サル	0000875107-1793
キザシ	0001019100-005
スッキリトシタ	0000733100-006
キチントシタ	0000340100-005	0000733100-004	0000800109-2306	0000949100-004	0000962200-008
ハッキリトシタ	0000157203-769	0000157205-1281	0000812200-005
キッパリトシタ	0000812207-1793
ハッキリシタ	0000699100-003
キッパリシタ	0001083110-2562
落胆シキッタ	0001201100-005
長年存在シテキタ	0000761105-1281
シキタリ	0001160100-007
ヒッキリナシノ	0000200110-2562
吐キ気ヲ催シテ	0001017200-001
暮ラシ向キノ楽ナ	0000959109-2305
大キナ悲シミ	0000498107-1793	0000498110-2561
キャシャナ	0001141100-009
非常ニ悲シムベキ	0000975105-1281
ムキ出シノ	0000728100-002	0000812100-007
水シブキ	0000720100-008
悲シムベキ	0000776109-2306	0000975100-001	0001191200-006
暮ラシ向キ	0001026100-010
但シ書キ	0000185100-005
ニュースキャスタ	0000843100-006
キャンセルスル	0000002100-003	0000121100-001
キャスタ	0000843100-004
障害ヲキタス	0000509109-2305
支障ヲキタス	0000509100-007
キャッチスル	0001115306-1537
ハッキリト規定スル	0000668104-1026
愛情ヲハッキリ表ニ出ス	0001038109-2305
テキスト	0000101100-010
ステキナ	0000496100-002	0000742200-002	0001109100-002	0001244100-001
ボンヤリト大キナ姿ヲ現ス	0000042106-1537
手本トスベキ	0000800100-006
引キ落トス	0000305110-2561
大キナ影響力ヲ及ボス	0001204107-1794
リスキーナ	0000242100-004
浮キ彫リニスル	0000821100-003
箇条書キニ記ス	0000668109-2305
人好キノスル	0000742200-007
引キ伸バス	0000388109-2306
引キ延バス	0000526106-1537
尊敬スベキ	0001252106-1537	0001252108-2049
愛スベキ	0001109100-003
憂慮スベキ	0000467107-1793	0001000100-010
注目スベキ	0000555100-005
